# Character map for texture Cambria Bold.png
Cambria, 40, bold
# Format: ordinal, x, y, width, height, origin x, origin y, advance
   48,   499,    54,    37,    45,     7,    36,    23
   49,   573,    54,    36,    45,     6,    36,    23
   50,   609,    54,    36,    45,     7,    36,    23
   51,   645,    54,    36,    45,     6,    36,    23
   52,     0,   145,    39,    44,     8,    35,    23
   53,   117,    54,    36,    46,     6,    37,    23
   54,   385,    54,    38,    45,     7,    36,    23
   55,   115,   145,    37,    44,     6,    35,    23
   56,   423,    54,    38,    45,     7,    36,    23
   57,   461,    54,    38,    45,     7,    36,    23
   32,   588,   189,    18,    18,     9,     9,     9
   33,   255,   145,    25,    44,     5,    35,    13
   34,   386,   189,    30,    27,     6,    37,    17
   35,   673,   100,    39,    44,     7,    35,    24
   36,   372,     0,    36,    51,     7,    39,    21
   37,   458,     0,    54,    47,     7,    36,    39
   38,   214,    54,    46,    45,     7,    36,    29
   39,   416,   189,    23,    27,     6,    37,    10
   40,   135,     0,    30,    54,     6,    37,    16
   41,   165,     0,    30,    54,     8,    37,    16
   42,   255,   189,    34,    34,     8,    37,    18
   43,   160,   189,    37,    37,     7,    30,    23
   44,   361,   189,    25,    29,     8,    15,     9
   45,   528,   189,    27,    22,     7,    21,    13
   46,   505,   189,    23,    24,     7,    15,     9
   47,     0,     0,    36,    54,     8,    37,    20
   58,   232,   189,    23,    36,     6,    27,    11
   59,   312,   145,    25,    42,     8,    27,    11
   60,   468,   145,    37,    38,     7,    30,    23
   61,   325,   189,    36,    30,     6,    26,    23
   62,   505,   145,    37,    38,     7,    30,    23
   63,     0,   100,    33,    45,     7,    36,    18
   64,   408,     0,    50,    48,     6,    36,    37
   65,   165,   100,    44,    44,     9,    35,    26
   66,   551,   100,    41,    44,     7,    35,    26
   67,   536,    54,    37,    45,     7,    36,    23
   68,   253,   100,    43,    44,     7,    35,    28
   69,    39,   145,    38,    44,     7,    35,    23
   70,   152,   145,    37,    44,     7,    35,    22
   71,   344,    54,    41,    45,     7,    36,    26
   72,   296,   100,    43,    44,     7,    35,    29
   73,   226,   145,    29,    44,     7,    35,    14
   74,   343,     0,    29,    52,     8,    35,    13
   75,   209,   100,    44,    44,     7,    35,    27
   76,   189,   145,    37,    44,     7,    35,    22
   77,   117,   100,    48,    44,     7,    35,    34
   78,   425,   100,    42,    44,     7,    35,    27
   79,   260,    54,    42,    45,     7,    36,    28
   80,   633,   100,    40,    44,     7,    35,    24
   81,   300,     0,    43,    52,     7,    36,    28
   82,   339,   100,    43,    44,     7,    35,    26
   83,   681,    54,    36,    45,     7,    36,    20
   84,   592,   100,    41,    44,     8,    35,    25
   85,   302,    54,    42,    45,     7,    35,    27
   86,   382,   100,    43,    44,     9,    35,    25
   87,    61,   100,    56,    44,     8,    35,    38
   88,   467,   100,    42,    44,     9,    35,    24
   89,   509,   100,    42,    44,     9,    35,    24
   90,    77,   145,    38,    44,     7,    35,    22
   91,   195,     0,    28,    54,     5,    37,    14
   92,    36,     0,    36,    54,     8,    37,    20
   93,   223,     0,    28,    54,     8,    37,    14
   94,   289,   189,    36,    32,     6,    36,    23
   95,   555,   189,    33,    21,     9,     7,    15
   96,   479,   189,    26,    25,     8,    37,    11
   97,   542,   145,    37,    38,     8,    29,    21
   98,   631,     0,    39,    46,     8,    37,    23
   99,   687,   145,    34,    38,     7,    29,    19
  100,   670,     0,    39,    46,     7,    37,    24
  101,   616,   145,    36,    38,     7,    29,    21
  102,   153,    54,    33,    46,     8,    37,    13
  103,   512,     0,    38,    47,     8,    29,    21
  104,   591,     0,    40,    46,     8,    37,    24
  105,    33,   100,    28,    45,     8,    36,    12
  106,   251,     0,    27,    54,     9,    36,    12
  107,   550,     0,    41,    46,     8,    37,    23
  108,   186,    54,    28,    46,     8,    37,    12
  109,   337,   145,    51,    38,     8,    29,    35
  110,   388,   145,    40,    38,     8,    29,    24
  111,   579,   145,    37,    38,     7,    29,    23
  112,     0,    54,    39,    46,     8,    29,    24
  113,    39,    54,    39,    46,     7,    29,    23
  114,   652,   145,    35,    38,     8,    29,    18
  115,     0,   189,    33,    38,     7,    29,    18
  116,   280,   145,    32,    43,     8,    33,    14
  117,   428,   145,    40,    38,     8,    28,    24
  118,    82,   189,    39,    37,     9,    28,    21
  119,    33,   189,    49,    37,     8,    28,    32
  120,   121,   189,    39,    37,     9,    28,    21
  121,    78,    54,    39,    46,     9,    28,    21
  122,   197,   189,    35,    37,     8,    28,    19
  123,   104,     0,    31,    54,     7,    37,    15
  124,   278,     0,    22,    54,     4,    37,    13
  125,    72,     0,    32,    54,     8,    37,    15
  126,   439,   189,    40,    26,     8,    24,    23
