# Character map for texture Cambria.png
Cambria, 18, normal
# Format: ordinal, x, y, width, height, origin x, origin y, advance
   48,   175,    80,    34,    38,    12,    25,    10
   49,     0,   118,    33,    38,    11,    25,    10
   50,    33,   118,    33,    38,    12,    25,    10
   51,    66,   118,    33,    38,    12,    25,    10
   52,   469,    42,    35,    38,    12,    25,    10
   53,   209,    80,    34,    38,    12,    25,    10
   54,   243,    80,    34,    38,    12,    25,    10
   55,   277,    80,    34,    38,    12,    25,    10
   56,   311,    80,    34,    38,    12,    25,    10
   57,   345,    80,    34,    38,    12,    25,    10
   32,    30,   190,    26,    26,    13,    13,     4
   33,   286,   118,    28,    38,    11,    25,     5
   34,   427,   156,    31,    30,    12,    25,     7
   35,   434,    42,    35,    38,    12,    25,    11
   36,   378,     0,    33,    40,    12,    26,     9
   37,   411,     0,    41,    39,    12,    25,    16
   38,   574,     0,    38,    38,    12,    25,    12
   39,   487,   156,    28,    30,    12,    25,     4
   40,   132,     0,    31,    42,    11,    25,     7
   41,   163,     0,    31,    42,    13,    25,     7
   42,   361,   156,    32,    32,    12,    25,     7
   43,   560,   118,    34,    34,    12,    22,    10
   44,   458,   156,    29,    30,    13,    15,     3
   45,     0,   190,    30,    27,    12,    18,     6
   46,   581,   156,    28,    28,    12,    15,     3
   47,     0,     0,    34,    42,    12,    25,     9
   58,   300,   156,    28,    34,    11,    21,     4
   59,   346,   118,    29,    36,    12,    21,     4
   60,   594,   118,    34,    34,    12,    22,    10
   61,   393,   156,    34,    31,    12,    21,    10
   62,     0,   156,    34,    34,    12,    22,    10
   63,   132,   118,    32,    38,    12,    25,     7
   64,   452,     0,    40,    39,    12,    25,    16
   65,     0,    42,    37,    38,    13,    25,    11
   66,   504,    42,    35,    38,    12,    25,    11
   67,   379,    80,    34,    38,    12,    25,    10
   68,    74,    42,    36,    38,    12,    25,    12
   69,   413,    80,    34,    38,    12,    25,    10
   70,   447,    80,    34,    38,    12,    25,     9
   71,   539,    42,    35,    38,    12,    25,    11
   72,   110,    42,    36,    38,    12,    25,    12
   73,   196,   118,    30,    38,    12,    25,     6
   74,   347,     0,    31,    41,    13,    25,     5
   75,   146,    42,    36,    38,    12,    25,    11
   76,   481,    80,    34,    38,    12,    25,     9
   77,   535,     0,    39,    38,    12,    25,    14
   78,   182,    42,    36,    38,    12,    25,    12
   79,   218,    42,    36,    38,    12,    25,    12
   80,   515,    80,    34,    38,    12,    25,    10
   81,   310,     0,    37,    41,    12,    25,    12
   82,   254,    42,    36,    38,    12,    25,    11
   83,    99,   118,    33,    38,    12,    25,     9
   84,   290,    42,    36,    38,    12,    25,    10
   85,   326,    42,    36,    38,    12,    25,    11
   86,    37,    42,    37,    38,    13,    25,    11
   87,   492,     0,    43,    38,    13,    25,    16
   88,   362,    42,    36,    38,    13,    25,    10
   89,   398,    42,    36,    38,    13,    25,    10
   90,   549,    80,    34,    38,    12,    25,     9
   91,   194,     0,    30,    42,    11,    25,     6
   92,    34,     0,    34,    42,    12,    25,     9
   93,   224,     0,    30,    42,    13,    25,     6
   94,   328,   156,    33,    32,    12,    25,    10
   95,   609,   156,    33,    27,    13,    12,     6
   96,   552,   156,    29,    29,    12,    26,     5
   97,    34,   156,    34,    34,    12,    21,     9
   98,   574,    42,    35,    38,    13,    25,    10
   99,   136,   156,    33,    34,    12,    21,     8
  100,   609,    42,    35,    38,    12,    25,    10
  101,   169,   156,    33,    34,    12,    21,     9
  102,   164,   118,    32,    38,    12,    25,     5
  103,   583,    80,    34,    38,    12,    21,     9
  104,     0,    80,    35,    38,    12,    25,    10
  105,   226,   118,    30,    38,    12,    25,     5
  106,   254,     0,    29,    42,    13,    25,     5
  107,    35,    80,    35,    38,    12,    25,     9
  108,   256,   118,    30,    38,    12,    25,     5
  109,   375,   118,    40,    34,    12,    21,    15
  110,   455,   118,    35,    34,    12,    21,    10
  111,    68,   156,    34,    34,    12,    21,     9
  112,    70,    80,    35,    38,    12,    21,    10
  113,   105,    80,    35,    38,    12,    21,    10
  114,   202,   156,    33,    34,    12,    21,     7
  115,   268,   156,    32,    34,    12,    21,     7
  116,   314,   118,    32,    36,    13,    23,     6
  117,   490,   118,    35,    34,    12,    21,    10
  118,   525,   118,    35,    34,    13,    21,     9
  119,   415,   118,    40,    34,    13,    21,    14
  120,   102,   156,    34,    34,    13,    21,     8
  121,   140,    80,    35,    38,    13,    21,     9
  122,   235,   156,    33,    34,    12,    21,     8
  123,    68,     0,    32,    42,    12,    25,     7
  124,   283,     0,    27,    42,    11,    25,     5
  125,   100,     0,    32,    42,    13,    25,     7
  126,   515,   156,    37,    29,    12,    20,    13
