# Character map for texture Icons.png
Font Awesome 5 Free Solid, 40, normal, 10.0
# Format: ordinal, x, y, width, height, origin x, origin y, advance
61544,   186,    58,    53,    26,     9,    28,    35
61543,   133,    58,    53,    53,     9,    41,    35
61648,     0,     0,    58,    58,     9,    44,    40
61507,   174,     0,    45,    58,     9,    44,    27
61829,    58,     0,    58,    58,     9,    44,    40
61441,   116,     0,    58,    58,     9,    44,    40
61506,    76,    58,    57,    57,     8,    43,    40
62151,   219,     0,    38,    58,     9,    44,    20
62152,   257,     0,    38,    58,     9,    44,    20
62153,   295,     0,    38,    58,     9,    44,    20
62154,     0,    58,    38,    58,     9,    44,    20
62155,    38,    58,    38,    58,     9,    44,    20
