# Character map for texture Segoe UI Bold.png
Segoe UI, 48, bold, 12
# Format: ordinal, x, y, width, height, origin x, origin y, advance
   48,   393,    66,    42,    52,     7,    43,    27
   49,     0,   119,    32,    52,     4,    43,    27
   50,   561,    66,    41,    52,     7,    43,    27
   51,   643,    66,    40,    52,     6,    43,    27
   52,   704,   119,    44,    51,     8,    42,    27
   53,   683,    66,    39,    52,     6,    42,    27
   54,   435,    66,    42,    52,     7,    43,    27
   55,    43,   171,    42,    51,     7,    42,    27
   56,   477,    66,    42,    52,     7,    43,    27
   57,   519,    66,    42,    52,     7,    43,    27
   32,   612,   222,    18,    18,     9,     9,    13
   33,    32,   119,    27,    52,     5,    42,    15
   34,   385,   222,    33,    28,     4,    42,    23
   35,   260,   171,    45,    49,     8,    42,    28
   36,    57,     0,    41,    61,     6,    47,    27
   37,   149,    66,    55,    52,     7,    43,    41
   38,    93,    66,    56,    52,     7,    43,    41
   39,   418,   222,    24,    28,     5,    42,    14
   40,    98,     0,    32,    59,     5,    42,    17
   41,   130,     0,    32,    59,     8,    42,    17
   42,   279,   222,    37,    35,     7,    42,    22
   43,   195,   222,    41,    41,     3,    34,    34
   44,   357,   222,    28,    30,     8,    15,    13
   45,   543,   222,    31,    23,     6,    24,    19
   46,   516,   222,    27,    25,     7,    16,    13
   47,   282,     0,    41,    57,    10,    42,    21
   58,   532,   171,    27,    43,     7,    33,    13
   59,   305,   171,    28,    48,     8,    33,    13
   60,    41,   222,    40,    42,     3,    35,    34
   61,   316,   222,    41,    33,     3,    30,    34
   62,    81,   222,    40,    42,     3,    35,    34
   63,   722,    66,    37,    52,     7,    43,    21
   64,   363,     0,    58,    56,     6,    43,    46
   65,   181,   119,    51,    51,     9,    42,    34
   66,   748,   119,    44,    51,     5,    42,    31
   67,   349,    66,    44,    52,     7,    43,    30
   68,   380,   119,    48,    51,     5,    42,    35
   69,    85,   171,    38,    51,     5,    42,    25
   70,   123,   171,    38,    51,     5,    42,    25
   71,   255,    66,    48,    52,     7,    43,    34
   72,   428,   119,    47,    51,     5,    42,    37
   73,   199,   171,    26,    51,     5,    42,    15
   74,   759,    66,    35,    52,     8,    42,    21
   75,   522,   119,    46,    51,     5,    42,    31
   76,   161,   171,    38,    51,     5,    42,    24
   77,   124,   119,    57,    51,     5,    42,    46
   78,   282,   119,    49,    51,     5,    42,    38
   79,   204,    66,    51,    52,     7,    43,    36
   80,     0,   171,    43,    51,     5,    42,    29
   81,   421,     0,    54,    56,     7,    43,    36
   82,   568,   119,    46,    51,     5,    42,    31
   83,   602,    66,    41,    52,     7,    43,    27
   84,   614,   119,    45,    51,     8,    42,    28
   85,   303,    66,    46,    52,     6,    42,    34
   86,   232,   119,    50,    51,     9,    42,    32
   87,    59,   119,    65,    51,     8,    42,    48
   88,   331,   119,    49,    51,     9,    42,    31
   89,   475,   119,    47,    51,     9,    42,    29
   90,   659,   119,    45,    51,     8,    42,    29
   91,   224,     0,    29,    59,     4,    42,    17
   92,   323,     0,    40,    57,     9,    42,    21
   93,   253,     0,    29,    59,     7,    42,    17
   94,   236,   222,    43,    38,     4,    43,    34
   95,   574,   222,    38,    21,     9,     5,    20
   96,   485,   222,    31,    25,     8,    44,    15
   97,   418,   171,    40,    43,     8,    33,    26
   98,   475,     0,    43,    54,     6,    44,    30
   99,   458,   171,    38,    43,     7,    33,    23
  100,   518,     0,    43,    54,     7,    44,    29
  101,   377,   171,    41,    43,     7,    33,    26
  102,   604,     0,    36,    54,     8,    45,    18
  103,   561,     0,    43,    54,     7,    33,    29
  104,     0,    66,    41,    53,     6,    44,    29
  105,    41,    66,    27,    53,     6,    44,    13
  106,    24,     0,    33,    65,    12,    44,    13
  107,   770,     0,    42,    53,     6,    44,    27
  108,    68,    66,    25,    53,     6,    44,    13
  109,   559,   171,    56,    42,     6,    33,    44
  110,   759,   171,    41,    42,     6,    33,    29
  111,   333,   171,    44,    43,     7,    33,    29
  112,   684,     0,    43,    53,     6,    33,    30
  113,   727,     0,    43,    53,     7,    33,    29
  114,   161,   222,    34,    42,     6,    33,    19
  115,   496,   171,    36,    43,     7,    33,    21
  116,   225,   171,    35,    50,     8,    40,    18
  117,     0,   222,    41,    42,     6,    33,    29
  118,   671,   171,    44,    42,     9,    33,    26
  119,   615,   171,    56,    42,     9,    33,    38
  120,   715,   171,    44,    42,     9,    33,    26
  121,   640,     0,    44,    53,     9,    33,    26
  122,   121,   222,    40,    42,     8,    33,    23
  123,   162,     0,    31,    59,     6,    42,    17
  124,     0,     0,    24,    66,     4,    45,    15
  125,   193,     0,    31,    59,     7,    42,    17
  126,   442,   222,    43,    26,     4,    27,    34
