# Character map for texture Segoe UI.png
Segoe UI, 48, normal
# Format: ordinal, x, y, width, height, origin x, origin y, advance
   48,   371,    66,    40,    52,     7,    43,    26
   49,   716,    66,    30,    52,     4,    43,    26
   50,   451,    66,    39,    52,     6,    43,    26
   51,   607,    66,    38,    52,     6,    43,    26
   52,   500,   119,    42,    51,     9,    42,    26
   53,   645,    66,    37,    52,     5,    42,    26
   54,   490,    66,    39,    52,     6,    43,    26
   55,   667,   119,    40,    51,     7,    42,    26
   56,   411,    66,    40,    52,     7,    43,    26
   57,   529,    66,    39,    52,     7,    43,    26
   32,   467,   222,    18,    18,     9,     9,    13
   33,     0,   119,    23,    52,     5,    42,    13
   34,   256,   222,    29,    28,     5,    42,    19
   35,   161,   171,    45,    48,     8,    42,    28
   36,    52,     0,    37,    60,     5,    46,    26
   37,    83,    66,    54,    52,     7,    43,    39
   38,   137,    66,    53,    52,     6,    43,    38
   39,   285,   222,    22,    28,     5,    42,    11
   40,    89,     0,    29,    59,     6,    42,    14
   41,   118,     0,    29,    59,     8,    42,    14
   42,   156,   222,    35,    35,     7,    42,    20
   43,    76,   222,    40,    40,     4,    34,    33
   44,   231,   222,    25,    29,     8,    14,    10
   45,   436,   222,    31,    21,     6,    24,    19
   46,   375,   222,    23,    23,     6,    14,    10
   47,   259,     0,    38,    57,    10,    42,    18
   58,   419,   171,    23,    43,     6,    33,    10
   59,   206,   171,    25,    48,     8,    33,    10
   60,     0,   222,    38,    41,     3,    35,    33
   61,   191,   222,    40,    31,     4,    29,    33
   62,    38,   222,    38,    41,     3,    35,    33
   63,   682,    66,    34,    52,     6,    43,    21
   64,   335,     0,    56,    56,     5,    43,    46
   65,   138,   119,    48,    51,     8,    42,    31
   66,   707,   119,    39,    51,     5,    42,    27
   67,   285,    66,    43,    52,     7,    43,    29
   68,   233,   119,    45,    51,     5,    42,    33
   69,     0,   171,    36,    51,     5,    42,    24
   70,    72,   171,    35,    51,     5,    42,    23
   71,   240,    66,    45,    52,     7,    43,    33
   72,   368,   119,    44,    51,     5,    42,    34
   73,   107,   171,    22,    51,     5,    42,    13
   74,   746,    66,    30,    52,     8,    42,    17
   75,   542,   119,    42,    51,     5,    42,    28
   76,    36,   171,    36,    51,     5,    42,    22
   77,    85,   119,    53,    51,     5,    42,    43
   78,   278,   119,    45,    51,     5,    42,    36
   79,   190,    66,    50,    52,     7,    43,    36
   80,   746,   119,    39,    51,     5,    42,    27
   81,   391,     0,    53,    56,     7,    43,    36
   82,   584,   119,    42,    51,     5,    42,    28
   83,   568,    66,    39,    52,     6,    43,    25
   84,   626,   119,    41,    51,     8,    42,    25
   85,   328,    66,    43,    52,     5,    42,    33
   86,   186,   119,    47,    51,     8,    42,    30
   87,    23,   119,    62,    51,     8,    42,    45
   88,   323,   119,    45,    51,     8,    42,    28
   89,   412,   119,    44,    51,     8,    42,    26
   90,   456,   119,    44,    51,     8,    42,    27
   91,   205,     0,    27,    59,     4,    42,    14
   92,   297,     0,    38,    57,    10,    42,    18
   93,   232,     0,    27,    59,     8,    42,    14
   94,   116,   222,    40,    37,     3,    43,    33
   95,   398,   222,    38,    21,     9,     5,    20
   96,   348,   222,    27,    25,     7,    45,    13
   97,   312,   171,    37,    43,     7,    33,    24
   98,   444,     0,    40,    54,     5,    44,    28
   99,   349,   171,    36,    43,     7,    33,    22
  100,   484,     0,    40,    54,     7,    44,    28
  101,   273,   171,    39,    43,     7,    33,    25
  102,   564,     0,    33,    54,     8,    45,    15
  103,   524,     0,    40,    54,     7,    33,    28
  104,   718,     0,    38,    53,     5,    44,    27
  105,    38,    66,    23,    53,     6,    44,    11
  106,    21,     0,    31,    64,    14,    44,    11
  107,     0,    66,    38,    53,     5,    44,    24
  108,    61,    66,    22,    53,     5,    44,    11
  109,   442,   171,    52,    42,     5,    33,    41
  110,   626,   171,    38,    42,     5,    33,    27
  111,   231,   171,    42,    43,     7,    33,    28
  112,   638,     0,    40,    53,     5,    33,    28
  113,   678,     0,    40,    53,     7,    33,    28
  114,   740,   171,    31,    42,     5,    33,    16
  115,   385,   171,    34,    43,     7,    33,    20
  116,   129,   171,    32,    49,     8,    40,    16
  117,   664,   171,    38,    42,     6,    33,    27
  118,   546,   171,    41,    42,     9,    33,    23
  119,   494,   171,    52,    42,     8,    33,    34
  120,   587,   171,    39,    42,     8,    33,    22
  121,   597,     0,    41,    53,     9,    33,    23
  122,   702,   171,    38,    42,     8,    33,    21
  123,   147,     0,    29,    59,     7,    42,    14
  124,     0,     0,    21,    66,     5,    45,    11
  125,   176,     0,    29,    59,     7,    42,    14
  126,   307,   222,    41,    25,     4,    26,    33
